DATA,FORNECEDOR,DESTINO,ESTADO/MUNICIPIO,TIPO,QUANTIDADE,VALOR,DESTINATARIO,UF,DATA DE ENTREGA
19/04/2020,VYAIRE,RIO DE JANEIRO,ESTADO,UTI,40,2400000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,19/04/2020
22/04/2020,VYAIRE,RIO DE JANEIRO,ESTADO,UTI,20,1200000,LABORATîRIO QUêMICO FARMACæUTICO DE AERONçUTICA,RJ,23/04/2020
08/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,UTI,25,1500000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
08/05/2020,KTK,RIO DE JANEIRO,ESTADO,UTI,15,900000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
09/05/2020,LEISTUNG,RIO DE JANEIRO,ESTADO,UTI,6,360000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
09/05/2020,VYAIRE,RIO DE JANEIRO,ESTADO,UTI,1,60000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
09/05/2020,VYAIRE,RIO DE JANEIRO,ESTADO,UTI,30,1800000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
09/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,UTI,8,480000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
09/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,TRANSPORTE,4,193160,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
09/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,UTI,1,60000,ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO,RJ,09/05/2020
16/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,TRANSPORTE,10,482900,FIOCRUZ ,RJ,18/05/2020
16/05/2020,MAGNAMED,RIO DE JANEIRO,ESTADO,TRANSPORTE,10,482900,HOSPITAL GERAL DO BOM SUCESSO,RJ,18/05/2020
16/05/2020,MAGNAMED,RIO DE JANEIRO,MUNICIPIO,TRANSPORTE,11,531190,SECRETARIA MUNICIPAL DE SAUDE - RIO DE JANEIRO,RJ,18/05/2020
